"time";"timer";"currentTransformerTransformationRatio";"constMeterImpsNum";"queueSizeCalcMeterAccuracy";"meterSerialNum";"pzemVoltage1";"pzemVoltage2";"pzemVoltage3";"pzemCurrent1";"pzemCurrent2";"pzemCurrent3";"pzemPower1";"pzemPower2";"pzemPower3";"pzemEnergy1";"pzemEnergy2";"pzemEnergy3";"pzemFrequency1";"pzemFrequency2";"pzemFrequency3";"pzemPowerFactor1";"pzemPowerFactor2";"pzemPowerFactor3";"pzemFullCurrent";"pzemFullPower";"pzemFullEnergy";"kyImpsMeter";"impsPeriodMeter";"calcMeterPower";"calcMeterAccuracy"
"2025/1/21 16:4:31 ";"00:00:1,3";"1";"1000";"3";"";"226,70";"238,90";"230,10";"3,92";"0,04";"0,28";"0,89";"0,00";"0,03";"4,57";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,47";"4,24";"0,92";"4,63";"11";"3,95";"";""
"2025/1/21 16:4:33 ";"00:00:2,5";"1";"1000";"3";"";"226,70";"238,90";"230,00";"3,92";"0,04";"0,38";"0,89";"0,00";"0,04";"4,57";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,51";"4,34";"0,93";"4,63";"11";"3,95";"";""
"2025/1/21 16:4:33 ";"00:00:3,2";"1";"1000";"3";"";"226,70";"238,90";"230,10";"3,92";"0,04";"0,27";"0,89";"0,00";"0,03";"4,57";"0,01";"0,04";"50,00";"49,90";"50,00";"1,00";"0,23";"0,47";"4,23";"0,92";"4,63";"11";"3,95";"";""
"2025/1/21 16:4:35 ";"00:00:4,4";"1";"1000";"3";"";"226,70";"238,80";"230,10";"3,92";"0,04";"0,24";"0,89";"0,00";"0,03";"4,57";"0,01";"0,04";"49,90";"50,00";"50,00";"1,00";"0,23";"0,46";"4,20";"0,92";"4,63";"12";"3,91";"";""
"2025/1/21 16:4:36 ";"00:00:5,6";"1";"1000";"3";"";"226,70";"238,80";"230,10";"3,92";"0,04";"0,24";"0,89";"0,00";"0,03";"4,57";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,20";"0,92";"4,63";"12";"3,91";"";""
"2025/1/21 16:4:36 ";"00:00:6,2";"1";"1000";"3";"";"226,70";"238,80";"230,10";"3,92";"0,04";"0,18";"0,89";"0,00";"0,02";"4,57";"0,01";"0,04";"50,00";"50,00";"49,90";"1,00";"0,23";"0,42";"4,15";"0,91";"4,63";"12";"3,91";"";""
"2025/1/21 16:4:37 ";"00:00:7,2";"1";"1000";"3";"";"226,70";"238,80";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,57";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"12";"3,91";"";""
"2025/1/21 16:4:39 ";"00:00:8,5";"1";"1000";"3";"";"226,70";"238,80";"230,20";"3,92";"0,04";"0,18";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"13";"3,94";"0,91";"-0,54"
"2025/1/21 16:4:39 ";"00:00:9,2";"1";"1000";"3";"";"226,70";"238,80";"230,20";"3,92";"0,04";"0,18";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"49,90";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"13";"3,94";"0,91";"-0,54"
"2025/1/21 16:4:40 ";"00:00:10,2";"1";"1000";"3";"";"226,70";"238,80";"230,10";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"13";"3,94";"0,91";"-0,54"
"2025/1/21 16:4:41 ";"00:00:11,2";"1";"1000";"3";"";"226,60";"238,90";"230,00";"3,92";"0,04";"0,18";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"49,90";"49,90";"49,90";"1,00";"0,22";"0,42";"4,14";"0,91";"4,63";"13";"3,94";"0,91";"-0,54"
"2025/1/21 16:4:42 ";"00:00:12,2";"1";"1000";"3";"";"226,60";"239,00";"230,10";"3,92";"0,04";"0,21";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,23";"0,44";"4,17";"0,91";"4,63";"14";"3,98";"0,91";"-0,54"
"2025/1/21 16:4:43 ";"00:00:13,2";"1";"1000";"3";"";"226,60";"238,90";"230,10";"3,92";"0,04";"0,21";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"49,90";"50,00";"1,00";"0,23";"0,44";"4,17";"0,91";"4,63";"14";"3,98";"0,91";"-0,54"
"2025/1/21 16:4:45 ";"00:00:14,4";"1";"1000";"3";"";"226,50";"239,00";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"14";"3,98";"0,91";"-0,54"
"2025/1/21 16:4:45 ";"00:00:15,2";"1";"1000";"3";"";"226,60";"239,00";"230,30";"3,92";"0,04";"0,21";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,43";"4,18";"0,91";"4,63";"15";"3,97";"0,91";"-0,54"
"2025/1/21 16:4:47 ";"00:00:16,5";"1";"1000";"3";"";"226,60";"238,90";"230,20";"3,92";"0,04";"0,22";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,45";"4,18";"0,91";"4,63";"15";"3,97";"0,91";"-0,54"
"2025/1/21 16:4:47 ";"00:00:17,2";"1";"1000";"3";"";"226,60";"238,90";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"15";"3,97";"0,91";"-0,54"
"2025/1/21 16:4:48 ";"00:00:18,2";"1";"1000";"3";"";"226,70";"238,90";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"15";"3,97";"0,91";"-0,54"
"2025/1/21 16:4:49 ";"00:00:19,2";"1";"1000";"3";"";"226,80";"238,90";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"16";"3,98";"0,90";"0,53"
"2025/1/21 16:4:50 ";"00:00:20,3";"1";"1000";"3";"";"226,30";"239,20";"230,20";"3,91";"0,04";"0,19";"0,88";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,14";"0,90";"4,63";"16";"3,98";"0,90";"0,53"
"2025/1/21 16:4:51 ";"00:00:21,2";"1";"1000";"3";"";"226,70";"238,90";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"49,90";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"16";"3,98";"0,90";"0,53"
"2025/1/21 16:4:52 ";"00:00:22,2";"1";"1000";"3";"";"226,70";"238,80";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"49,90";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"16";"3,98";"0,90";"0,53"
"2025/1/21 16:4:53 ";"00:00:23,2";"1";"1000";"3";"";"226,70";"238,90";"230,20";"3,92";"0,04";"0,20";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,43";"4,17";"0,91";"4,63";"17";"4,01";"0,90";"0,53"
"2025/1/21 16:4:54 ";"00:00:24,3";"1";"1000";"3";"";"226,80";"238,90";"230,20";"3,92";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"17";"4,01";"0,90";"0,53"
"2025/1/21 16:4:55 ";"00:00:25,2";"1";"1000";"3";"";"226,40";"238,70";"230,80";"3,91";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,41";"4,14";"0,91";"4,63";"17";"4,01";"0,90";"0,53"
"2025/1/21 16:4:56 ";"00:00:26,2";"1";"1000";"3";"";"226,40";"238,70";"230,90";"3,91";"0,04";"0,19";"0,89";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"17";"4,01";"0,90";"0,53"
"2025/1/21 16:4:57 ";"00:00:27,2";"1";"1000";"3";"";"226,40";"238,70";"230,90";"3,91";"0,04";"0,19";"0,88";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"18";"3,94";"0,90";"0,53"
"2025/1/21 16:4:58 ";"00:00:28,2";"1";"1000";"3";"";"226,30";"238,70";"230,90";"3,91";"0,04";"0,19";"0,88";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,41";"4,14";"0,90";"4,63";"18";"3,94";"0,90";"0,53"
"2025/1/21 16:4:59 ";"00:00:29,2";"1";"1000";"3";"";"226,30";"238,60";"230,80";"3,91";"0,04";"0,19";"0,88";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,14";"0,90";"4,63";"18";"3,94";"0,90";"0,53"
"2025/1/21 16:5:0 ";"00:00:30,2";"1";"1000";"3";"";"226,30";"238,60";"230,70";"3,91";"0,04";"0,19";"0,88";"0,00";"0,02";"4,58";"0,01";"0,04";"50,00";"50,00";"50,00";"1,00";"0,22";"0,42";"4,15";"0,91";"4,63";"18";"3,94";"0,90";"0,53"
